layer_head,Position,position_first_third,position_middle_third,position_last_third,ARID,ARID&Homeo domain factors,Basic helix-loop-helix factors (bHLH),Basic helix-span-helix factors (bHSH),Basic leucine zipper factors (bZIP),Basic leucine zipper factors (bZIP)&SAND domain factors,C2CH THAP-type zinc finger factors,C2H2 zinc finger factors,CRC domain,DM-type intertwined zinc finger factors,Fork head/winged helix factors,GC,GCM domain factors,Grainyhead domain factors,Heat shock factors,Heteromeric CCAAT-binding factors,High-mobility group (HMG) domain factors,Homeo domain factors,Homeo domain factors&High-mobility group (HMG) domain factors,Homeo domain factors&Paired box factors,MADS box factors,Nuclear receptors with C4 zinc fingers,Other C4 zinc finger-type factors,Other C4 zinc finger-type factors&Basic helix-loop-helix factors (bHLH),Paired box factors,Rel homology region (RHR) factors,Runt domain factors,SAND domain factors,SMAD/NF-1 DNA-binding domain factors,STAT domain factors,T-Box factors,TATA-binding proteins,TEA domain factors,TSS,Tryptophan cluster factors,p53 domain factors,phyloP,repeat_DNA,repeat_LINE,repeat_LTR,repeat_SINE,repeat_Simple_repeat
layer5-head3,6,-4,2,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
layer5-head4,-4,9,-8,0,1,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-3,0
layer5-head5,10,-8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,3,-2,0,-4,0
layer5-head6,-4,-1,10,-9,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0
layer5-head7,-9,9,-6,-3,-1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0
layer5-head8,-5,10,-10,0,0,0,-1,0,-1,-1,0,0,0,0,0,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
layer5-head9,2,2,-10,8,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
layer5-head10,0,2,-3,2,0,0,-1,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
layer5-head11,-4,6,-10,4,0,0,0,0,-1,-1,0,0,0,0,0,6,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
layer6-head0,-6,8,-10,2,0,0,-1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,-1,0
layer6-head1,-9,10,-3,-7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer6-head2,7,-2,-8,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
layer6-head3,-5,10,-10,0,0,1,0,0,-1,-1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0
layer6-head4,8,-8,3,5,0,0,0,-1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0
layer6-head5,-10,10,-7,-3,0,0,0,0,-1,-1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0
layer6-head6,-9,10,-7,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,0,-2,0
layer6-head7,10,-8,2,6,0,0,0,2,0,0,0,0,0,0,0,8,-2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
layer6-head8,3,3,-10,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
layer6-head9,-9,7,3,-10,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
layer6-head10,-10,8,-7,-1,0,0,0,0,-1,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,-1
layer6-head11,6,0,-10,10,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,0,0,0,0,0,0,0,2,1,-2,0,-2,0
layer7-head0,-7,9,-10,1,1,1,0,0,0,-1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
layer7-head1,0,1,-10,9,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0
layer7-head2,8,-8,5,4,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,1,0,0,0,-1
